loan_id,no_of_dependents,education,self_employed,loan_term,cibil_score,loan_status,income_annum_usd,loan_amount_usd,residential_assets_usd,commercial_assets_usd,luxury_assets_usd,bank_assets_usd
1,2, Graduate, No,12,778, Approved,115662.65060240965,360240.9638554217,28915.66265060241,212048.19277108434,273493.9759036145,96385.5421686747
2,0, Not Graduate, Yes,8,417, Rejected,49397.590361445786,146987.9518072289,32530.12048192771,26506.024096385543,106024.09638554217,39759.03614457831
3,3, Graduate, No,20,506, Rejected,109638.55421686747,357831.3253012048,85542.1686746988,54216.867469879515,401204.8192771084,154216.8674698795
4,3, Graduate, No,8,467, Rejected,98795.18072289157,369879.5180722892,219277.10843373495,39759.03614457831,280722.8915662651,95180.72289156627
5,5, Not Graduate, Yes,20,382, Rejected,118072.2891566265,291566.265060241,149397.5903614458,98795.18072289157,354216.8674698795,60240.96385542169
6,0, Graduate, Yes,10,319, Rejected,57831.32530120482,162650.60240963855,81927.7108433735,100000.0,165060.2409638554,61445.78313253012
7,5, Graduate, No,4,678, Approved,104819.27710843373,397590.3614457831,271084.3373493976,178313.2530120482,351807.2289156627,51807.22891566265
8,2, Graduate, Yes,20,382, Rejected,68674.69879518072,180722.89156626505,159036.14457831325,68674.69879518072,142168.6746987952,72289.15662650602
9,0, Graduate, Yes,20,782, Approved,9638.55421686747,26506.024096385543,15662.650602409638,9638.55421686747,33734.93975903615,7228.915662650603
10,5, Not Graduate, No,10,388, Rejected,13253.012048192772,51807.22891566265,38554.21686746988,16867.469879518074,39759.03614457831,19277.10843373494
11,4, Graduate, Yes,2,547, Approved,34939.75903614458,134939.7590361446,97590.36144578313,56626.50602409639,114457.8313253012,37349.39759036145
12,2, Not Graduate, Yes,18,538, Rejected,80722.89156626505,273493.9759036145,184337.34939759035,69879.51807228915,245783.1325301205,77108.43373493975
13,3, Not Graduate, Yes,16,311, Rejected,60240.96385542169,139759.0361445783,77108.43373493975,115662.65060240965,175903.61445783134,51807.22891566265
14,2, Graduate, Yes,14,679, Approved,109638.55421686747,379518.0722891566,130120.48192771085,200000.0,251807.22891566265,60240.96385542169
15,1, Not Graduate, No,6,469, Rejected,22891.566265060243,89156.6265060241,22891.566265060243,14457.831325301206,71084.3373493976,22891.566265060243
16,5, Not Graduate, No,10,794, Approved,56626.50602409639,128915.6626506024,68674.69879518072,46987.951807228914,197590.36144578314,53012.048192771086
17,2, Graduate, Yes,4,663, Approved,6024.096385542169,19277.10843373494,15662.650602409638,1204.8192771084337,15662.650602409638,8433.734939759037
18,4, Not Graduate, Yes,14,780, Approved,34939.75903614458,113253.01204819277,34939.75903614458,33734.93975903615,80722.89156626505,51807.22891566265
19,2, Graduate, No,10,736, Approved,32530.12048192771,124096.38554216867,12048.192771084337,0.0,74698.7951807229,39759.03614457831
20,5, Graduate, No,12,652, Approved,75903.61445783133,175903.61445783134,124096.38554216867,42168.67469879518,283132.5301204819,71084.3373493976
21,2, Graduate, No,12,315, Rejected,60240.96385542169,233734.93975903615,114457.8313253012,19277.10843373494,216867.46987951806,73493.97590361445
22,4, Graduate, No,16,530, Rejected,69879.51807228915,168674.6987951807,45783.132530120485,136144.578313253,267469.8795180723,65060.24096385542
23,4, Graduate, Yes,18,311, Rejected,78313.2530120482,309638.5542168675,157831.3253012048,20481.927710843374,234939.7590361446,102409.63855421687
24,0, Not Graduate, Yes,2,551, Approved,6024.096385542169,16867.469879518074,10843.373493975903,7228.915662650603,13253.012048192772,3614.4578313253014
25,0, Not Graduate, No,16,324, Rejected,59036.14457831325,118072.2891566265,45783.132530120485,104819.27710843373,120481.92771084337,39759.03614457831
26,5, Not Graduate, No,20,514, Rejected,37349.39759036145,114457.8313253012,95180.72289156627,37349.39759036145,79518.07228915663,31325.301204819276
27,4, Graduate, No,12,696, Approved,98795.18072289157,338554.2168674699,138554.2168674699,127710.84337349398,304819.2771084337,86746.98795180723
28,4, Not Graduate, Yes,4,662, Approved,28915.66265060241,67469.8795180723,54216.867469879515,50602.409638554214,65060.24096385542,30120.481927710844
29,5, Not Graduate, Yes,6,336, Rejected,84337.34939759035,289156.6265060241,27710.843373493975,143373.4939759036,331325.3012048193,116867.46987951807
30,3, Not Graduate, Yes,10,850, Approved,108433.73493975903,379518.0722891566,262650.6024096386,149397.5903614458,406024.0963855422,96385.5421686747
31,2, Not Graduate, No,12,313, Rejected,118072.2891566265,304819.2771084337,243373.4939759036,62650.60240963855,307228.9156626506,112048.19277108433
32,2, Graduate, No,6,363, Rejected,68674.69879518072,144578.31325301205,43373.49397590361,89156.6265060241,261445.7831325301,51807.22891566265
33,1, Not Graduate, Yes,10,436, Rejected,9638.55421686747,19277.10843373494,8433.734939759037,2409.6385542168673,26506.024096385543,12048.192771084337
34,5, Not Graduate, Yes,2,830, Approved,101204.81927710843,265060.2409638554,45783.132530120485,46987.951807228914,239759.0361445783,65060.24096385542
35,3, Graduate, No,8,612, Approved,59036.14457831325,143373.4939759036,116867.46987951807,14457.831325301206,228915.6626506024,69879.51807228915
36,2, Graduate, Yes,8,691, Approved,20481.927710843374,40963.85542168675,32530.12048192771,33734.93975903615,72289.15662650602,10843.373493975903
37,3, Not Graduate, No,18,636, Approved,19277.10843373494,74698.7951807229,40963.85542168675,8433.734939759037,63855.42168674699,16867.469879518074
38,5, Graduate, Yes,6,348, Rejected,96385.5421686747,327710.843373494,77108.43373493975,3614.4578313253014,201204.81927710844,85542.1686746988
39,5, Graduate, No,16,830, Approved,43373.49397590361,92771.0843373494,84337.34939759035,15662.650602409638,120481.92771084337,34939.75903614458
40,3, Not Graduate, Yes,6,352, Rejected,18072.289156626506,61445.78313253012,1204.8192771084337,2409.6385542168673,67469.8795180723,10843.373493975903
41,1, Graduate, No,2,712, Approved,93975.90361445783,218072.2891566265,103614.4578313253,134939.7590361446,261445.7831325301,108433.73493975903
42,2, Not Graduate, No,16,822, Approved,109638.55421686747,300000.0,268674.6987951807,145783.1325301205,373493.9759036145,62650.60240963855
43,3, Graduate, No,6,540, Rejected,16867.469879518074,40963.85542168675,2409.6385542168673,18072.289156626506,46987.951807228914,9638.55421686747
44,2, Graduate, Yes,12,342, Rejected,9638.55421686747,27710.843373493975,26506.024096385543,15662.650602409638,21686.746987951807,9638.55421686747
45,5, Graduate, No,18,787, Approved,78313.2530120482,161445.7831325301,219277.10843373495,3614.4578313253014,195180.72289156626,65060.24096385542
46,4, Graduate, No,16,331, Rejected,96385.5421686747,334939.7590361446,156626.5060240964,75903.61445783133,257831.3253012048,131325.3012048193
47,3, Not Graduate, Yes,6,679, Approved,50602.409638554214,175903.61445783134,28915.66265060241,83132.53012048193,104819.27710843373,59036.14457831325
48,1, Graduate, Yes,14,677, Approved,59036.14457831325,230120.48192771085,65060.24096385542,109638.55421686747,213253.01204819276,78313.2530120482
49,3, Not Graduate, No,12,634, Approved,66265.06024096385,246987.9518072289,9638.55421686747,103614.4578313253,222891.56626506025,98795.18072289157
50,1, Not Graduate, Yes,16,662, Approved,114457.8313253012,230120.48192771085,1204.8192771084337,126506.02409638555,454216.8674698795,140963.85542168675
51,4, Graduate, No,16,502, Rejected,87951.80722891567,306024.0963855422,6024.096385542169,21686.746987951807,246987.9518072289,126506.02409638555
52,2, Graduate, No,10,435, Rejected,104819.27710843373,297590.3614457831,81927.7108433735,42168.67469879518,262650.6024096386,136144.578313253
53,5, Not Graduate, No,4,689, Approved,45783.132530120485,91566.26506024097,104819.27710843373,1204.8192771084337,112048.19277108433,40963.85542168675
54,1, Not Graduate, Yes,12,657, Approved,101204.81927710843,277108.4337349398,185542.1686746988,178313.2530120482,384337.3493975904,98795.18072289157
55,2, Graduate, Yes,20,590, Approved,61445.78313253012,237349.39759036145,89156.6265060241,112048.19277108433,233734.93975903615,40963.85542168675
56,5, Not Graduate, No,12,818, Approved,80722.89156626505,295180.7228915663,14457.831325301206,67469.8795180723,196385.5421686747,74698.7951807229
57,2, Not Graduate, No,18,431, Rejected,51807.22891566265,127710.84337349398,25301.204819277107,18072.289156626506,112048.19277108433,62650.60240963855
58,5, Graduate, Yes,18,841, Approved,112048.19277108433,367469.8795180723,232530.1204819277,124096.38554216867,416867.4698795181,104819.27710843373
59,1, Graduate, No,20,421, Rejected,89156.6265060241,221686.7469879518,222891.56626506025,109638.55421686747,210843.3734939759,49397.590361445786
60,4, Not Graduate, Yes,16,797, Approved,66265.06024096385,219277.10843373495,-1204.8192771084337,59036.14457831325,224096.38554216866,57831.32530120482
61,2, Not Graduate, No,18,478, Rejected,102409.63855421687,227710.843373494,286746.9879518072,196385.5421686747,312048.1927710843,137349.39759036145
62,3, Not Graduate, Yes,18,669, Approved,115662.65060240965,367469.8795180723,56626.50602409639,22891.566265060243,319277.1084337349,112048.19277108433
63,5, Not Graduate, Yes,6,365, Rejected,106024.09638554217,348192.7710843373,293975.9036144578,103614.4578313253,330120.4819277108,56626.50602409639
64,3, Not Graduate, Yes,20,586, Approved,39759.03614457831,90361.44578313253,19277.10843373494,67469.8795180723,126506.02409638555,34939.75903614458
65,4, Graduate, Yes,18,784, Approved,46987.951807228914,148192.77108433735,91566.26506024097,83132.53012048193,157831.3253012048,33734.93975903615
66,1, Graduate, No,12,364, Rejected,49397.590361445786,124096.38554216867,114457.8313253012,73493.97590361445,179518.07228915664,33734.93975903615
67,3, Not Graduate, No,10,715, Approved,100000.0,350602.4096385542,73493.97590361445,143373.4939759036,290361.4457831325,143373.4939759036
68,0, Not Graduate, Yes,20,693, Rejected,32530.12048192771,121686.7469879518,2409.6385542168673,20481.927710843374,71084.3373493976,16867.469879518074
69,4, Graduate, No,4,777, Approved,67469.8795180723,149397.5903614458,66265.06024096385,37349.39759036145,142168.6746987952,66265.06024096385
70,0, Graduate, No,12,312, Rejected,22891.566265060243,60240.96385542169,48192.77108433735,33734.93975903615,59036.14457831325,28915.66265060241
